"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J5";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"Handbrake";;;
2;"J6";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"PCF8574 I²C";;;
3;"J2";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Pedals";;;
4;"J3";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Joystick";;;
5;"J4";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Encoder";;;
6;"R4,R3";"R_0402_1005Metric";2;"4.7k";;;
7;"R2,R1";"R_0402_1005Metric";2;"1k";;;
8;"J8,J7";"RJ45_Molex_0855135013_Vertical";2;"RJ45";;;
9;"J1.1";"PinSocket_1x17_P2.54mm_Vertical_SMD_Pin1Left";1;"Digital";;;
10;"J1.2";"PinSocket_1x17_P2.54mm_Vertical_SMD_Pin1Left";1;"Analog";;;
